scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,230.37152099609375,140.79049682617188,1.0,224.09210205078125,135.7867889404297,1.0,221.8172607421875,147.83242797851562,1.0,220.42364501953125,140.86233520507812,1.0,213.31272888183594,136.93006896972656,1.0,206.25567626953125,131.91897583007812,1.0,197.63226318359375,122.6072769165039,1.0,191.84130859375,112.74467468261719,1.0,188.23849487304688,101.85950469970703,1.0,190.19546508789062,84.06549835205078,1.0,189.46981811523438,65.39170837402344,1.0,179.7890625,48.81344985961914,1.0
1,224.30699157714844,143.14324951171875,0.9999996423721313,221.06295776367188,139.07521057128906,1.0,216.37962341308594,148.06068420410156,1.0,216.75799560546875,142.08584594726562,1.0,210.20506286621094,137.10328674316406,1.0,204.057373046875,130.87643432617188,1.0,197.4329833984375,121.73821258544922,1.0,192.72088623046875,112.1284408569336,1.0,189.38291931152344,101.33396911621094,1.0,190.64466857910156,83.92615509033203,1.0,189.37539672851562,64.75741577148438,1.0,179.6318359375,48.2092399597168,1.0
2,223.53773498535156,144.35655212402344,0.999996542930603,220.51181030273438,140.3203887939453,1.0,214.93472290039062,148.16444396972656,1.0,215.94818115234375,142.4939422607422,1.0,209.34202575683594,136.9713134765625,1.0,203.4842987060547,130.41552734375,1.0,197.39141845703125,121.3671646118164,1.0,192.78150939941406,112.08526611328125,1.0,189.58236694335938,101.21585845947266,1.0,190.62672424316406,83.94017791748047,1.0,189.3030548095703,64.65680694580078,1.0,179.74276733398438,47.790283203125,1.0
3,222.93492126464844,144.89385986328125,0.9999936819076538,219.95289611816406,141.19180297851562,1.0,213.79994201660156,148.2493438720703,1.0,215.2758331298828,143.1278533935547,1.0,208.7842559814453,137.30690002441406,1.0,203.2205047607422,130.49459838867188,1.0,197.34274291992188,121.21554565429688,1.0,192.9402313232422,111.79509735107422,1.0,190.0117645263672,100.86547088623047,1.0,190.91696166992188,83.47488403320312,1.0,189.80657958984375,64.15392303466797,1.0,179.54612731933594,48.142730712890625,1.0
4,222.91094970703125,144.7889862060547,0.9999887347221375,220.09262084960938,140.6144561767578,1.0,214.1987762451172,148.01345825195312,1.0,215.41099548339844,142.64529418945312,1.0,208.87042236328125,136.92410278320312,1.0,203.40943908691406,130.5135498046875,1.0,197.50413513183594,121.3250732421875,1.0,193.03900146484375,111.97125244140625,1.0,189.93540954589844,101.15447998046875,1.0,190.85816955566406,83.87101745605469,1.0,189.4078369140625,64.52436828613281,1.0,179.67044067382812,47.93802261352539,1.0
5,223.11253356933594,144.8092041015625,0.9999902248382568,220.23585510253906,140.6919403076172,1.0,214.32847595214844,148.11463928222656,1.0,215.57630920410156,142.80104064941406,1.0,209.07412719726562,137.17478942871094,1.0,203.45822143554688,130.81161499023438,1.0,197.59866333007812,121.53273010253906,1.0,193.04742431640625,112.21723937988281,1.0,189.91085815429688,101.40320587158203,1.0,190.8444366455078,84.03495788574219,1.0,189.55267333984375,64.61334228515625,1.0,179.67349243164062,48.103450775146484,1.0
6,220.5636749267578,145.652099609375,0.9999898672103882,221.1666259765625,140.88128662109375,1.0,213.7860565185547,148.43002319335938,1.0,215.33621215820312,143.2288055419922,1.0,208.84335327148438,137.0389862060547,1.0,203.21768188476562,130.18582153320312,1.0,197.4062042236328,121.1633529663086,1.0,192.96832275390625,111.97603607177734,1.0,189.91949462890625,101.03597259521484,1.0,190.84568786621094,83.62909698486328,1.0,189.71478271484375,64.3595962524414,1.0,179.55328369140625,48.26650619506836,1.0
7,222.55079650878906,146.26068115234375,1.0,219.50270080566406,140.67498779296875,1.0,214.52120971679688,149.17837524414062,1.0,215.3860321044922,142.99588012695312,1.0,209.059814453125,137.2420654296875,1.0,203.29847717285156,129.84141540527344,1.0,196.9690704345703,120.68795013427734,1.0,192.49630737304688,111.06613159179688,1.0,189.32484436035156,101.12335968017578,1.0,190.76242065429688,82.426513671875,1.0,189.4772491455078,63.103302001953125,1.0,178.90951538085938,46.79668045043945,1.0
