scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,180.30014038085938,173.2705841064453,1.0,169.81546020507812,163.6415557861328,1.0,163.75518798828125,174.50953674316406,1.0,164.9351348876953,167.31478881835938,1.0,155.78892517089844,161.85977172851562,1.0,146.50213623046875,155.71656799316406,1.0,137.31036376953125,147.1955108642578,1.0,130.34735107421875,138.79884338378906,1.0,125.27971649169922,128.27513122558594,1.0,118.7334213256836,112.32196044921875,1.0,115.63745880126953,94.18619537353516,1.0,122.01390075683594,78.8091812133789,0.9999880790710449
1,145.71018981933594,179.54708862304688,1.0,144.9011688232422,166.42356872558594,1.0,133.40621948242188,168.53257751464844,1.0,140.02557373046875,164.79278564453125,1.0,137.4778289794922,158.12088012695312,1.0,134.6691436767578,149.24998474121094,1.0,131.62872314453125,141.1681671142578,1.0,128.72511291503906,132.60743713378906,1.0,126.61479949951172,122.55313110351562,1.0,120.05828857421875,107.2307357788086,1.0,117.99584197998047,89.15306854248047,1.0,122.64039611816406,74.46304321289062,0.9999992847442627
2,118.36966705322266,173.72361755371094,9.319930541096255e-05,127.340087890625,167.45896911621094,1.0,115.7498779296875,166.18154907226562,1.0,122.84237670898438,164.81076049804688,1.0,124.75560760498047,157.63217163085938,1.0,127.61270904541016,149.82974243164062,1.0,129.52255249023438,140.80142211914062,1.0,130.87313842773438,133.00086975097656,1.0,130.1934051513672,122.75664520263672,1.0,127.53069305419922,105.54237365722656,1.0,123.47215270996094,88.27291107177734,1.0,127.77389526367188,73.79170227050781,0.9999995827674866
3,122.33891296386719,174.74557495117188,0.0005418360233306885,128.47946166992188,167.6650848388672,1.0,116.89476013183594,166.68214416503906,1.0,124.0914535522461,165.00076293945312,1.0,125.29759216308594,157.77151489257812,1.0,127.9561996459961,149.59075927734375,1.0,129.6889190673828,140.64141845703125,1.0,130.77175903320312,132.86546325683594,1.0,129.95877075195312,122.49113464355469,1.0,126.5463638305664,105.66629791259766,1.0,123.90934753417969,88.07506561279297,1.0,127.81647491455078,73.04366302490234,0.9999995231628418
4,122.41078186035156,174.78599548339844,0.0005011856555938721,128.60008239746094,167.67861938476562,1.0,117.09495544433594,166.73960876464844,1.0,124.19053649902344,164.98545837402344,1.0,125.39913177490234,157.7662811279297,1.0,127.95623779296875,149.64149475097656,1.0,129.63441467285156,140.62432861328125,1.0,130.75474548339844,132.83074951171875,1.0,129.99960327148438,122.35549926757812,1.0,126.46212005615234,105.50347900390625,1.0,123.9006118774414,88.00456237792969,1.0,127.77098846435547,73.32852172851562,0.9999996423721313
5,123.58384704589844,172.29306030273438,3.997733983851504e-06,129.93328857421875,166.37257385253906,1.0,116.9886703491211,165.41111755371094,1.0,124.60773468017578,163.40109252929688,1.0,125.92499542236328,155.9109649658203,1.0,128.30572509765625,148.7210693359375,1.0,130.66334533691406,139.63113403320312,1.0,130.99032592773438,131.9407196044922,1.0,130.4611053466797,121.55619049072266,1.0,126.86125183105469,104.94097137451172,1.0,124.20333099365234,87.67620086669922,1.0,127.42784881591797,72.93684387207031,0.9999994039535522
6,151.96485900878906,163.53823852539062,1.0,144.92892456054688,157.18389892578125,1.0,136.28811645507812,164.3870086669922,1.0,139.2984161376953,159.16357421875,1.0,134.36196899414062,154.7310333251953,1.0,128.4557647705078,147.1898956298828,1.0,125.02738189697266,138.4180145263672,1.0,122.38603973388672,129.42242431640625,1.0,119.82617950439453,120.03105163574219,1.0,115.85820007324219,103.46881866455078,1.0,115.34851837158203,85.78048706054688,1.0,122.10700988769531,71.73047637939453,0.999990701675415
7,161.9755401611328,135.6017303466797,1.0,150.2833709716797,138.6772918701172,1.0,155.21871948242188,149.7211151123047,1.0,151.0721435546875,146.39950561523438,1.0,141.93408203125,149.00389099121094,1.0,132.7677764892578,149.06466674804688,1.0,123.51924133300781,144.7991180419922,1.0,115.72826385498047,137.34129333496094,1.0,112.1728515625,127.136962890625,1.0,100.83137512207031,112.15934753417969,1.0,94.86614990234375,96.20665740966797,1.0,101.63414001464844,77.5439682006836,0.9999996423721313
