scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,162.05958557128906,152.4008026123047,0.9999064207077026,151.6129608154297,161.3031005859375,0.9999961853027344,141.9488983154297,182.6306610107422,0.9999971389770508,143.9573516845703,177.3573760986328,0.9999998807907104,140.93028259277344,170.94866943359375,1.0,133.70010375976562,168.1548309326172,1.0,125.82462310791016,162.43612670898438,1.0,115.7656478881836,160.39683532714844,1.0,104.39017486572266,159.3592987060547,1.0,90.88968658447266,161.86441040039062,1.0,78.84384155273438,167.1536865234375,1.0,69.67627716064453,177.05923461914062,0.9999997615814209
1,127.04547119140625,194.87518310546875,0.004188358783721924,133.76541137695312,187.78250122070312,0.9999996423721313,120.0179214477539,188.3138885498047,0.9999645352363586,127.19859313964844,183.93861389160156,0.9999988079071045,129.05621337890625,176.91171264648438,0.9999997615814209,127.72321319580078,169.46495056152344,1.0,121.52851104736328,164.07901000976562,1.0,113.27262878417969,159.13145446777344,1.0,102.99040222167969,155.526123046875,1.0,88.55107116699219,154.2823486328125,1.0,73.02515411376953,157.2025909423828,1.0,61.37016677856445,163.60333251953125,1.0
2,145.0547637939453,179.57737731933594,0.035447657108306885,128.57713317871094,191.0799560546875,0.997260570526123,113.60857391357422,195.70938110351562,0.9996901750564575,124.23118591308594,189.1982421875,0.9998559951782227,124.05980682373047,181.02357482910156,0.9999990463256836,121.22737884521484,171.6274871826172,0.9999997615814209,116.84527587890625,163.9485626220703,1.0,110.73280334472656,156.57431030273438,1.0,100.72947692871094,149.91146850585938,1.0,89.76924133300781,144.73402404785156,1.0,74.93893432617188,145.09915161132812,1.0,64.05136108398438,146.370361328125,1.0
3,135.44241333007812,188.3595428466797,0.995138943195343,131.0164794921875,179.0078582763672,1.0,119.99713897705078,186.32479858398438,1.0,125.07078552246094,181.26083374023438,1.0,121.79222106933594,175.53848266601562,1.0,116.52064514160156,168.64898681640625,1.0,111.87860870361328,161.90969848632812,1.0,104.1537094116211,154.05392456054688,1.0,94.99464416503906,146.31813049316406,1.0,83.88277435302734,140.14093017578125,1.0,70.65373229980469,136.35025024414062,1.0,61.86156463623047,130.21725463867188,1.0
4,144.67242431640625,149.23841857910156,1.0,131.30393981933594,153.410400390625,1.0,138.09307861328125,165.8871307373047,1.0,131.68199157714844,162.1527557373047,1.0,124.35804748535156,166.32325744628906,1.0,114.57672119140625,167.49400329589844,1.0,105.91423034667969,165.3265380859375,1.0,95.22474670410156,160.6336669921875,1.0,89.52947998046875,149.815185546875,1.0,78.93424987792969,145.1748809814453,1.0,66.53561401367188,138.87008666992188,1.0,62.49140930175781,132.3799591064453,1.0
5,144.81985473632812,136.57522583007812,1.0,131.1046600341797,144.4119110107422,1.0,141.95298767089844,154.6544647216797,1.0,134.0967254638672,153.1703338623047,1.0,126.97966003417969,159.60887145996094,1.0,118.78336334228516,165.01309204101562,1.0,109.26948547363281,166.9637451171875,1.0,98.05888366699219,164.26849365234375,1.0,92.65104675292969,153.4451904296875,1.0,79.30250549316406,149.85751342773438,1.0,62.840187072753906,143.5769500732422,1.0,66.8468246459961,134.29238891601562,1.0
6,122.17986297607422,120.05412292480469,1.0,115.34991455078125,135.26963806152344,1.0,131.58363342285156,136.1239776611328,1.0,123.5606918334961,139.8014373779297,1.0,124.0357894897461,148.0943145751953,1.0,120.14156341552734,155.33001708984375,1.0,113.6519775390625,161.8063507080078,1.0,104.88343811035156,164.6908721923828,1.0,95.40052032470703,161.52108764648438,1.0,79.09014892578125,164.08023071289062,1.0,63.57402801513672,161.67391967773438,1.0,64.72502899169922,146.43634033203125,1.0
7,111.85851287841797,111.9262466430664,1.0,109.41417694091797,131.4170379638672,1.0,125.22933197021484,125.15316009521484,1.0,119.37359619140625,132.92044067382812,1.0,121.56827545166016,141.18614196777344,1.0,121.62151336669922,149.32785034179688,1.0,118.6631088256836,156.99752807617188,1.0,116.90249633789062,162.22215270996094,1.0,111.11918640136719,168.81182861328125,1.0,99.27388763427734,181.59158325195312,1.0,82.73306274414062,188.31053161621094,0.999998152256012,67.25373077392578,183.3113555908203,0.996665358543396
