scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,254.04933166503906,33.95445251464844,1.0,238.9567413330078,42.914852142333984,0.9999992251396179,248.06765747070312,55.18692398071289,1.0,239.22390747070312,53.76600646972656,0.9999992251396179,232.77090454101562,61.034149169921875,1.0,225.7821807861328,66.12977600097656,1.0,213.06137084960938,72.46405029296875,0.9999983906745911,202.44810485839844,78.60662841796875,0.9999971389770508,189.3699493408203,84.53758239746094,1.0,166.37759399414062,98.84086608886719,1.0,148.39932250976562,113.56883239746094,1.0,131.49285888671875,127.77155303955078,1.0
1,258.1778564453125,28.069406509399414,0.004688084125518799,245.35784912109375,40.09588623046875,0.08713975548744202,254.52078247070312,48.961509704589844,0.1935567855834961,225.53231811523438,70.2169189453125,0.000855177640914917,235.93954467773438,60.655216217041016,0.9991270899772644,235.00035095214844,61.55778121948242,1.0,229.79763793945312,62.98194122314453,0.9958180785179138,218.92572021484375,70.71868133544922,0.9996024370193481,207.6021270751953,78.19129180908203,1.0,186.58091735839844,95.751220703125,0.9999997019767761,170.24822998046875,112.08553314208984,1.0,153.20376586914062,125.42843627929688,1.0
2,251.66615295410156,28.47869110107422,0.9544965028762817,237.95736694335938,41.395450592041016,0.9999902248382568,251.54469299316406,52.30314254760742,0.9999982714653015,239.6287841796875,52.33993148803711,0.9999926090240479,235.20852661132812,60.7010498046875,1.0,228.1520233154297,66.51346588134766,1.0,222.41171264648438,73.25840759277344,1.0,214.10472106933594,79.04234313964844,1.0,203.90576171875,87.81364440917969,1.0,185.23341369628906,104.01567077636719,1.0,168.11129760742188,121.35511016845703,1.0,155.12892150878906,134.8929443359375,1.0
3,264.715576171875,49.0506591796875,1.0,250.10292053222656,51.60264205932617,1.0,256.9938659667969,64.49683380126953,1.0,247.84490966796875,60.22895050048828,0.9999992847442627,238.8449249267578,64.03054809570312,0.9999992251396179,231.1388702392578,66.45681762695312,1.0,222.02845764160156,72.28616333007812,1.0,213.0284423828125,76.94573974609375,1.0,201.89723205566406,86.24845886230469,1.0,183.4481964111328,99.91732788085938,1.0,166.1205596923828,114.69441223144531,1.0,151.15965270996094,128.29188537597656,1.0
4,274.5699768066406,55.42010498046875,0.9998224973678589,265.2207946777344,56.27542495727539,0.9991694688796997,268.0871887207031,67.0658950805664,0.9999995231628418,261.7367248535156,63.21045684814453,0.9997686147689819,252.43321228027344,65.6001968383789,0.9998999834060669,239.20523071289062,65.86341857910156,1.0,229.4801788330078,66.552001953125,0.999998927116394,217.45127868652344,70.9052734375,0.9999988675117493,202.8395233154297,76.75318908691406,1.0,179.95848083496094,89.68695068359375,1.0,160.50955200195312,99.38688659667969,1.0,145.6569366455078,113.2960433959961,1.0
5,282.6683044433594,60.85200881958008,0.9898315072059631,269.07940673828125,59.03571319580078,0.9998847246170044,272.8994140625,70.69208526611328,1.0,266.22113037109375,65.9914779663086,0.9999902248382568,256.4576110839844,65.76057434082031,0.9999808073043823,245.20663452148438,66.38851928710938,1.0,232.98533630371094,65.03544616699219,0.9999989867210388,220.69674682617188,68.20191192626953,0.9999997615814209,203.165771484375,74.16688537597656,1.0,177.285400390625,84.01472473144531,1.0,156.85675048828125,93.78971099853516,1.0,141.29965209960938,108.06481170654297,1.0
6,237.78102111816406,54.40293884277344,1.0,225.01690673828125,60.61042022705078,1.0,234.21311950683594,71.94019317626953,1.0,225.6277618408203,68.64722442626953,1.0,219.56057739257812,73.19757843017578,1.0,213.2226104736328,77.85590362548828,1.0,204.89039611816406,82.5102767944336,1.0,197.25149536132812,87.59500122070312,1.0,187.0286865234375,93.84944152832031,1.0,170.46511840820312,105.1536865234375,1.0,153.22445678710938,117.58992004394531,1.0,137.39328002929688,128.1074981689453,1.0
7,231.16989135742188,87.8677749633789,1.0,222.03611755371094,79.8605728149414,1.0,222.2185516357422,94.58373260498047,1.0,219.28150939941406,86.90476989746094,1.0,211.7008056640625,85.26822662353516,1.0,203.19808959960938,84.26791381835938,1.0,195.10215759277344,83.47073364257812,1.0,187.8247833251953,85.86844635009766,1.0,176.686767578125,90.15576171875,1.0,161.8260955810547,96.92020416259766,1.0,150.01141357421875,107.51504516601562,1.0,137.07440185546875,115.50950622558594,1.0
