scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,175.76380920410156,133.16615295410156,0.9999977350234985,183.93008422851562,124.54313659667969,1.0,173.27981567382812,121.19139862060547,1.0,178.9907989501953,120.52266693115234,1.0,178.82373046875,111.56721496582031,1.0,178.2458953857422,100.1106185913086,1.0,176.35418701171875,89.29429626464844,1.0,172.91204833984375,79.37676239013672,1.0,170.69656372070312,69.04888153076172,1.0,163.04067993164062,53.53168869018555,1.0,151.46612548828125,40.98026657104492,0.9999995231628418,133.96157836914062,30.094697952270508,0.9999979734420776
1,175.8772735595703,132.85073852539062,0.9999982714653015,183.80252075195312,124.05937194824219,1.0,172.6520538330078,122.07296752929688,1.0,178.97384643554688,119.95057678222656,1.0,178.9320068359375,110.85932159423828,1.0,178.1641082763672,100.03242492675781,1.0,176.30691528320312,89.3595962524414,1.0,172.8463134765625,79.42679595947266,1.0,170.63357543945312,69.06729888916016,1.0,163.04054260253906,53.56198501586914,1.0,151.5199737548828,40.975677490234375,0.9999995827674866,133.9670867919922,30.133760452270508,0.9999986886978149
2,175.84194946289062,132.75328063964844,0.9999982118606567,183.8876495361328,123.94377899169922,1.0,172.64828491210938,121.87305450439453,1.0,178.9656219482422,119.82536315917969,1.0,178.9415740966797,110.7474136352539,1.0,178.15992736816406,99.84008026123047,1.0,176.22901916503906,89.25402069091797,1.0,172.8853302001953,79.26683044433594,1.0,170.56504821777344,69.06672668457031,1.0,163.0030517578125,53.432716369628906,1.0,151.51609802246094,40.8393669128418,0.999999463558197,133.8617401123047,30.109769821166992,0.9999984502792358
3,175.42420959472656,132.72073364257812,0.9999996423721313,183.5191650390625,123.79730987548828,1.0,172.5170440673828,121.33533477783203,1.0,178.7823944091797,119.3945541381836,1.0,178.9317169189453,110.30895233154297,1.0,178.52098083496094,99.68881225585938,1.0,176.48348999023438,88.97474670410156,1.0,173.04983520507812,79.18157196044922,1.0,170.69699096679688,69.02189636230469,1.0,163.0817108154297,53.51871109008789,1.0,151.57899475097656,40.94333267211914,0.9999996423721313,134.0080108642578,30.20937728881836,0.999998152256012
4,152.96458435058594,116.18982696533203,1.0,170.1490478515625,120.82427978515625,1.0,163.90016174316406,110.96696472167969,1.0,170.19754028320312,114.80242156982422,1.0,175.431396484375,107.69587707519531,1.0,178.40390014648438,97.96952056884766,1.0,179.3104248046875,88.35408020019531,1.0,176.3797607421875,78.0279541015625,1.0,172.32154846191406,68.84919738769531,1.0,165.8746337890625,53.22205352783203,1.0,153.8307342529297,41.141666412353516,1.0,133.2853546142578,32.69819259643555,0.9999995231628418
5,140.0543670654297,115.71202087402344,1.0,161.41598510742188,118.48251342773438,0.9999997615814209,154.79763793945312,107.70234680175781,1.0,162.21580505371094,112.01798248291016,1.0,171.37884521484375,105.58839416503906,1.0,176.635498046875,99.23844146728516,1.0,178.6311798095703,87.34123992919922,1.0,177.202392578125,76.5306625366211,1.0,174.60752868652344,67.29236602783203,1.0,168.44346618652344,49.69596862792969,1.0,156.499267578125,37.89142990112305,0.9999997615814209,134.13343811035156,29.63604164123535,0.9999955892562866
6,142.73822021484375,99.34998321533203,1.0,156.50979614257812,110.58993530273438,1.0,157.74974060058594,99.53623962402344,1.0,161.16226196289062,105.34532165527344,1.0,168.9970245361328,103.0245590209961,1.0,176.73394775390625,96.62481689453125,1.0,179.91148376464844,87.05298614501953,1.0,179.06893920898438,77.34022521972656,1.0,176.9798126220703,67.10150909423828,1.0,171.28018188476562,49.86533737182617,1.0,159.47262573242188,37.0335578918457,0.9999988079071045,135.65089416503906,28.886198043823242,0.9999626874923706
7,132.14743041992188,95.5057601928711,1.0,151.84263610839844,106.88251495361328,0.9999997615814209,152.4307861328125,95.63111114501953,1.0,157.19091796875,101.77120208740234,1.0,165.64694213867188,99.09226989746094,1.0,174.30137634277344,93.82940673828125,1.0,178.31167602539062,85.23046112060547,1.0,177.673828125,75.93740844726562,1.0,176.99118041992188,66.78477478027344,1.0,172.32740783691406,49.54458236694336,1.0,162.11744689941406,36.33563995361328,0.9999990463256836,135.71066284179688,29.8418025970459,0.9999797344207764
