scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,181.59735107421875,79.78789520263672,1.0,168.44419860839844,91.86768341064453,1.0,183.11903381347656,102.25239562988281,1.0,172.2259521484375,102.50994110107422,1.0,168.44625854492188,111.15326690673828,1.0,163.89212036132812,117.59649658203125,1.0,157.72373962402344,127.21100616455078,1.0,154.3739471435547,135.88084411621094,1.0,152.68028259277344,145.1934814453125,1.0,152.6091766357422,162.91482543945312,1.0,150.65203857421875,182.1770477294922,0.9999997019767761,146.3389434814453,195.7981719970703,0.9999862909317017
1,160.047607421875,89.22129821777344,1.0,152.0449981689453,105.8990249633789,1.0,169.18148803710938,107.41432189941406,1.0,160.26046752929688,112.69866180419922,1.0,158.79086303710938,120.39224243164062,1.0,155.34649658203125,126.76814270019531,1.0,154.28065490722656,133.4559783935547,1.0,152.38140869140625,140.18089294433594,1.0,152.68838500976562,148.43026733398438,1.0,151.56764221191406,160.90338134765625,1.0,147.79066467285156,174.12496948242188,1.0,147.66879272460938,181.9761962890625,0.9999864101409912
2,161.25595092773438,90.0116958618164,1.0,152.3874053955078,105.11982727050781,1.0,169.70513916015625,107.63778686523438,1.0,160.64828491210938,112.45873260498047,1.0,158.4356689453125,119.76521301269531,1.0,155.0427703857422,125.59835815429688,1.0,152.961181640625,132.72091674804688,1.0,150.90403747558594,139.5702667236328,1.0,151.28744506835938,147.42625427246094,1.0,148.59036254882812,159.42755126953125,1.0,148.90350341796875,169.78643798828125,1.0,158.1513214111328,176.26734924316406,0.9975315928459167
3,102.85962677001953,98.11675262451172,1.0,115.14602661132812,108.94000244140625,1.0,121.19195556640625,96.424072265625,1.0,121.31759643554688,103.89126586914062,1.0,129.3518524169922,108.63525390625,1.0,138.9002685546875,113.3615493774414,1.0,148.56503295898438,119.3991470336914,1.0,154.75155639648438,127.9841079711914,1.0,159.48451232910156,136.74354553222656,1.0,164.26043701171875,150.51271057128906,1.0,156.27349853515625,167.34921264648438,0.9999997019767761,141.43223571777344,174.0134735107422,1.0
4,74.69092559814453,95.83085632324219,1.0,85.5594253540039,107.67374420166016,1.0,88.82359313964844,93.33291625976562,1.0,89.88401794433594,101.0190658569336,1.0,103.25188446044922,104.05413818359375,1.0,115.76239013671875,109.2737808227539,1.0,129.9239044189453,111.2172622680664,1.0,143.83006286621094,112.28996276855469,1.0,157.3403778076172,114.68011474609375,1.0,178.0381317138672,121.00414276123047,1.0,196.66558837890625,126.94395446777344,1.0,207.4302215576172,145.0067901611328,0.9999997615814209
5,75.64488983154297,100.34407806396484,1.0,87.6216812133789,110.37269592285156,1.0,88.47976684570312,95.658935546875,1.0,91.3668212890625,103.4586410522461,1.0,103.70005798339844,105.79866790771484,1.0,116.23074340820312,108.08557891845703,1.0,130.27822875976562,110.0671157836914,1.0,144.99864196777344,111.30941009521484,1.0,156.84425354003906,114.14018249511719,1.0,176.99208068847656,120.1819839477539,1.0,197.40408325195312,125.45765686035156,1.0,215.04518127441406,138.31878662109375,1.0
6,78.7858657836914,100.78655242919922,1.0,91.3710708618164,110.69674682617188,1.0,92.40214538574219,96.04560852050781,1.0,95.13835144042969,103.480224609375,1.0,106.21952056884766,105.87635803222656,1.0,119.7082748413086,108.2767562866211,1.0,132.62680053710938,110.83448028564453,1.0,145.8730926513672,112.38951873779297,1.0,158.44827270507812,114.34880065917969,1.0,178.42401123046875,119.96910858154297,1.0,198.07073974609375,124.90217590332031,1.0,215.58909606933594,136.90338134765625,1.0
7,82.5294189453125,101.20962524414062,1.0,94.05670928955078,110.34879302978516,1.0,93.45331573486328,95.90255737304688,1.0,96.42151641845703,103.30918884277344,1.0,108.0074234008789,105.91580963134766,1.0,122.45296478271484,108.39352416992188,1.0,134.21932983398438,111.31316375732422,1.0,147.4928436279297,113.25652313232422,1.0,160.43856811523438,114.3453598022461,1.0,179.37994384765625,120.39390563964844,1.0,197.9071044921875,125.57501983642578,1.0,215.41799926757812,137.84132385253906,1.0
