scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,115.3755111694336,96.96315002441406,1.0,130.9106903076172,96.25442504882812,1.0,123.1521224975586,86.50452423095703,1.0,129.07086181640625,89.82945251464844,1.0,136.53053283691406,85.7569808959961,1.0,143.65113830566406,80.1925277709961,1.0,152.74717712402344,76.60497283935547,1.0,161.2975616455078,72.75172424316406,1.0,171.7274932861328,70.01261138916016,1.0,189.70965576171875,68.4100341796875,1.0,207.1746368408203,68.26759338378906,1.0,222.04383850097656,67.88420867919922,1.0
1,116.3578872680664,96.28570556640625,1.0,130.40386962890625,96.3122787475586,1.0,122.93063354492188,86.59918212890625,1.0,128.77752685546875,90.04341888427734,1.0,136.22047424316406,86.01276397705078,1.0,143.56417846679688,80.68003845214844,1.0,152.7345428466797,76.9640121459961,1.0,161.1185302734375,72.82103729248047,1.0,171.49264526367188,70.0601806640625,1.0,189.53155517578125,68.24697875976562,1.0,207.0342254638672,67.80986785888672,1.0,222.55511474609375,65.67706298828125,1.0
2,135.49691772460938,105.06454467773438,0.9998044371604919,144.23902893066406,96.61072540283203,1.0,132.1256866455078,93.78704833984375,1.0,137.36361694335938,92.93992614746094,1.0,140.56346130371094,86.6520004272461,1.0,145.00267028808594,78.740478515625,1.0,152.5017547607422,74.6341323852539,1.0,161.29141235351562,68.75129699707031,1.0,172.61029052734375,66.1228256225586,1.0,189.59945678710938,64.22992706298828,1.0,207.71694946289062,63.10887908935547,1.0,222.58009338378906,64.76944732666016,1.0
3,159.55885314941406,116.5045166015625,0.9995754957199097,157.6873779296875,105.42704772949219,1.0,147.82687377929688,110.20497131347656,1.0,150.3485870361328,103.52507019042969,1.0,146.58473205566406,97.38009643554688,1.0,145.46414184570312,87.57394409179688,1.0,149.28289794921875,77.25879669189453,1.0,155.44984436035156,68.76872253417969,1.0,166.92669677734375,64.95849609375,1.0,185.90232849121094,58.151363372802734,1.0,206.0060272216797,58.63134765625,1.0,222.3604736328125,60.451690673828125,1.0
4,177.05650329589844,142.23416137695312,1.0,170.31141662597656,128.551513671875,1.0,162.40699768066406,137.90516662597656,1.0,164.914794921875,131.07492065429688,1.0,158.4051971435547,122.84312438964844,1.0,149.99896240234375,111.74720764160156,1.0,143.67684936523438,101.87024688720703,1.0,139.3415069580078,91.3223648071289,1.0,139.80967712402344,78.92152404785156,1.0,141.081298828125,59.259029388427734,1.0,148.8690948486328,42.507568359375,1.0,158.81944274902344,26.091045379638672,1.0
5,194.1169891357422,140.62753295898438,1.0,184.78140258789062,131.06893920898438,1.0,179.84007263183594,143.12380981445312,1.0,180.343505859375,135.74591064453125,1.0,171.53860473632812,127.97223663330078,1.0,161.44949340820312,120.70974731445312,1.0,152.74574279785156,110.2070541381836,1.0,145.11135864257812,101.03893280029297,1.0,140.46578979492188,89.94915008544922,1.0,134.4994354248047,71.8989486694336,1.0,131.93142700195312,50.00117874145508,1.0,131.32859802246094,27.927474975585938,1.0
6,209.75486755371094,158.18621826171875,1.0,199.1031494140625,148.18679809570312,1.0,193.83860778808594,158.15597534179688,1.0,194.33297729492188,151.3163604736328,1.0,184.91856384277344,145.02679443359375,1.0,174.11468505859375,137.99044799804688,1.0,164.1564483642578,129.17274475097656,1.0,152.49815368652344,122.54411315917969,1.0,143.48696899414062,114.66726684570312,1.0,122.6463623046875,103.46754455566406,1.0,106.33292388916016,92.16575622558594,1.0,96.17591094970703,77.31237030029297,1.0
7,194.68336486816406,165.09286499023438,1.0,193.78192138671875,153.3961944580078,1.0,183.0995330810547,163.46202087402344,1.0,187.2805938720703,156.15843200683594,1.0,179.97976684570312,147.1378631591797,1.0,174.44723510742188,139.01739501953125,1.0,165.91136169433594,129.4966278076172,1.0,156.5767364501953,122.5733871459961,1.0,148.98892211914062,113.09941101074219,1.0,130.8997039794922,98.74739837646484,1.0,116.90209197998047,85.53775024414062,1.0,104.70345306396484,69.3834457397461,1.0
