scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,191.1501007080078,68.65057373046875,1.0,193.4476318359375,93.35441589355469,1.0,208.238037109375,84.24446868896484,1.0,203.1619110107422,93.55543518066406,1.0,209.9615936279297,98.63416290283203,1.0,216.48695373535156,103.61113739013672,1.0,224.80764770507812,106.86502838134766,1.0,231.427001953125,103.23676300048828,1.0,237.86233520507812,94.9325180053711,1.0,245.91954040527344,83.38400268554688,1.0,253.287841796875,70.81071472167969,1.0,256.82598876953125,55.55033874511719,1.0
1,191.23155212402344,68.74784088134766,1.0,193.41323852539062,93.24067687988281,1.0,208.30995178222656,84.07137298583984,1.0,203.24411010742188,93.5176010131836,1.0,209.89364624023438,98.47523498535156,1.0,216.4160614013672,103.44633483886719,1.0,224.77330017089844,106.8445053100586,1.0,231.4188995361328,103.26119232177734,1.0,237.93707275390625,95.01002502441406,1.0,246.02487182617188,83.32222747802734,1.0,253.35821533203125,70.8419418334961,1.0,257.0503234863281,55.716548919677734,1.0
2,191.28724670410156,69.24652099609375,1.0,193.71705627441406,93.70951843261719,1.0,208.52056884765625,84.54964447021484,1.0,203.49264526367188,94.05079650878906,1.0,210.08934020996094,98.7798843383789,1.0,216.7268829345703,103.44588470458984,1.0,225.0587615966797,106.86894989013672,1.0,231.4273223876953,103.0649185180664,1.0,237.87327575683594,94.91410064697266,1.0,245.8323516845703,83.35980987548828,1.0,253.35047912597656,70.8096694946289,1.0,256.841552734375,55.84806442260742,1.0
3,191.1500701904297,69.4515151977539,1.0,193.83840942382812,93.6718978881836,1.0,208.48899841308594,84.46260833740234,1.0,203.53514099121094,93.92239379882812,1.0,210.1298828125,98.80929565429688,1.0,216.6688995361328,103.56493377685547,1.0,224.81044006347656,106.90955352783203,1.0,231.36822509765625,103.1071548461914,1.0,237.8911590576172,95.03130340576172,1.0,245.94398498535156,83.35862731933594,1.0,253.4554443359375,70.76024627685547,1.0,256.8023681640625,55.57731628417969,1.0
4,191.10446166992188,69.78460693359375,1.0,194.01156616210938,93.92431640625,1.0,208.46109008789062,84.64752197265625,1.0,203.60977172851562,94.09478759765625,1.0,210.20314025878906,98.95240783691406,1.0,216.73776245117188,103.59581756591797,1.0,225.117919921875,106.8731689453125,1.0,231.43606567382812,103.01254272460938,1.0,237.874267578125,94.75349426269531,1.0,245.8655548095703,83.25992584228516,1.0,253.5175323486328,70.69115447998047,1.0,256.900390625,55.64798355102539,1.0
5,178.14073181152344,104.35177612304688,1.0,193.1343536376953,112.05122375488281,1.0,194.75723266601562,97.93526458740234,1.0,196.5137939453125,105.35930633544922,1.0,206.8169403076172,105.93192291259766,1.0,215.15748596191406,106.15585327148438,1.0,224.37342834472656,106.65718078613281,1.0,232.52755737304688,103.24398803710938,1.0,238.97267150878906,94.89360809326172,1.0,246.7694549560547,81.38038635253906,1.0,255.1818389892578,70.01937866210938,1.0,258.20465087890625,56.15857696533203,1.0
6,186.08506774902344,125.08853149414062,1.0,199.8367156982422,124.0772933959961,1.0,193.22247314453125,114.57660675048828,1.0,198.49351501464844,117.73542022705078,1.0,206.75125122070312,115.14894104003906,1.0,214.96450805664062,110.7718505859375,1.0,223.83609008789062,106.49230194091797,1.0,232.00518798828125,102.29902648925781,1.0,239.01473999023438,94.63980102539062,1.0,247.82089233398438,81.47013092041016,1.0,257.3285217285156,70.41708374023438,1.0,259.8173828125,58.36555480957031,1.0
7,203.6253204345703,139.0951690673828,1.0,213.17051696777344,132.57774353027344,1.0,203.42822265625,128.49716186523438,1.0,208.50680541992188,127.54396057128906,1.0,210.9832305908203,121.30506134033203,1.0,216.2288360595703,112.99922943115234,1.0,223.05372619628906,106.73390197753906,1.0,231.3185272216797,100.8102035522461,1.0,240.10995483398438,93.00759887695312,1.0,248.82855224609375,80.08794403076172,1.0,257.79791259765625,69.84220123291016,1.0,259.8709716796875,58.20542907714844,1.0
