scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,158.67527770996094,44.7911376953125,1.0,174.31500244140625,54.69376754760742,1.0,178.26348876953125,41.99273681640625,0.9999992251396179,179.58363342285156,48.90644836425781,1.0,188.34658813476562,50.870601654052734,1.0,198.76266479492188,53.95024108886719,1.0,207.52291870117188,59.44511032104492,1.0,217.94461059570312,65.1830825805664,1.0,227.0437774658203,72.5057144165039,1.0,238.6334991455078,84.19087219238281,1.0,248.53465270996094,99.63560485839844,1.0,253.65829467773438,114.55963134765625,1.0
1,158.65345764160156,44.68333435058594,1.0,174.0287628173828,54.7392463684082,1.0,178.5445098876953,41.75216293334961,0.9999991655349731,179.54873657226562,48.7708854675293,1.0,187.89596557617188,50.64459991455078,1.0,198.06430053710938,53.79187774658203,1.0,206.50289916992188,59.236244201660156,1.0,217.0095672607422,64.48493194580078,1.0,226.0805206298828,72.18049621582031,1.0,238.28538513183594,83.87786102294922,1.0,248.49447631835938,99.59956359863281,1.0,253.72349548339844,114.56431579589844,1.0
2,158.3975067138672,45.09928512573242,1.0,174.12806701660156,55.38137435913086,1.0,178.93663024902344,42.51224899291992,0.9999990463256836,179.98175048828125,49.63737869262695,1.0,188.10887145996094,51.558006286621094,1.0,198.33200073242188,55.07549285888672,1.0,206.843017578125,59.921226501464844,0.9999992847442627,217.8607635498047,65.09075927734375,1.0,226.89622497558594,72.31214141845703,1.0,238.45013427734375,84.07701110839844,1.0,248.75611877441406,99.34172058105469,1.0,253.966064453125,114.07870483398438,1.0
3,158.1415557861328,38.377288818359375,1.0,172.21298217773438,51.5085334777832,0.9999988079071045,182.02317810058594,39.93556213378906,0.9999967813491821,180.5939483642578,47.444725036621094,0.9999980330467224,189.0740203857422,50.913082122802734,0.999998927116394,199.08026123046875,55.660179138183594,0.999999463558197,207.029541015625,59.65574645996094,0.9999957084655762,217.1156768798828,65.6105728149414,1.0,225.9386749267578,72.96356964111328,1.0,238.20278930664062,84.40277862548828,1.0,248.17559814453125,99.47522735595703,1.0,253.68101501464844,114.16030883789062,1.0
4,156.48292541503906,52.02204895019531,1.0,174.65579223632812,57.95381164550781,0.9999986886978149,179.74652099609375,44.78847122192383,0.9996247291564941,180.11553955078125,51.21003723144531,1.0,189.0561981201172,53.12190246582031,1.0,199.85752868652344,55.71595001220703,1.0,208.6686248779297,60.722633361816406,1.0,218.228759765625,65.80255126953125,1.0,226.79226684570312,72.4231185913086,1.0,238.35751342773438,83.69854736328125,1.0,248.34091186523438,98.5113525390625,1.0,252.49307250976562,113.44599151611328,0.9999997019767761
5,183.47146606445312,34.31705856323242,1.0,184.23910522460938,50.763729095458984,1.0,198.01004028320312,44.05631637573242,1.0,192.67376708984375,50.77180862426758,1.0,197.21885681152344,55.31946563720703,1.0,205.22335815429688,59.93427658081055,1.0,212.09970092773438,64.7854995727539,1.0,220.3140869140625,69.58856964111328,1.0,227.41322326660156,75.25660705566406,1.0,238.2515411376953,84.40947723388672,1.0,246.68630981445312,95.63471221923828,1.0,250.95265197753906,108.96924591064453,0.9999990463256836
6,217.0736541748047,25.193431854248047,0.9999961256980896,203.91464233398438,35.00265884399414,1.0,217.95285034179688,40.98365783691406,1.0,208.27105712890625,43.08759689331055,1.0,204.61318969726562,49.11681365966797,1.0,205.01502990722656,57.74275207519531,1.0,209.8245391845703,65.80299377441406,1.0,217.36148071289062,71.3171615600586,1.0,226.19895935058594,77.35631561279297,1.0,236.1144256591797,85.82611083984375,1.0,244.97866821289062,96.08159637451172,1.0,251.62619018554688,107.19019317626953,0.9999960660934448
7,237.86521911621094,39.10562515258789,0.9999380111694336,216.31488037109375,37.73965835571289,0.9999747276306152,227.63681030273438,50.46365737915039,0.9999989867210388,219.53929138183594,45.126956939697266,0.9999994039535522,213.2042694091797,51.06392288208008,0.9999997615814209,208.7076416015625,57.32180404663086,0.9999997615814209,211.95394897460938,66.06280517578125,1.0,216.94561767578125,72.59634399414062,1.0,223.6721954345703,79.22344207763672,1.0,231.48948669433594,87.5760726928711,1.0,241.4907684326172,97.65986633300781,1.0,251.6268768310547,104.06483459472656,1.0
