scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,68.99250793457031,151.81112670898438,1.0,79.69091033935547,161.0185089111328,1.0,79.297607421875,149.3751678466797,1.0,84.17081451416016,156.34335327148438,1.0,94.24614715576172,153.75648498535156,1.0,103.78532409667969,150.84869384765625,1.0,112.29533386230469,143.15255737304688,1.0,115.50591278076172,135.42498779296875,1.0,118.82355499267578,123.30396270751953,1.0,122.66197967529297,96.865478515625,0.9999854564666748,120.539794921875,72.30741119384766,0.9999874830245972,112.64531707763672,52.67844772338867,0.9999983310699463
1,76.43558502197266,123.15499877929688,1.0,82.35221862792969,138.80780029296875,1.0,89.60941314697266,128.19593811035156,1.0,88.80594635009766,135.05076599121094,1.0,96.47775268554688,136.5828399658203,1.0,104.49645233154297,136.34898376464844,1.0,114.26837921142578,132.71290588378906,1.0,122.00444793701172,127.03333282470703,1.0,129.45330810546875,117.45285034179688,1.0,142.17147827148438,100.03844451904297,0.9999996423721313,147.63131713867188,75.33366394042969,0.9999983906745911,142.54579162597656,52.09467315673828,1.0
2,65.08626556396484,86.8307113647461,1.0,65.03684997558594,109.38107299804688,1.0,76.68444061279297,99.99964141845703,1.0,71.89191436767578,106.65874481201172,1.0,78.31277465820312,114.65287017822266,1.0,84.04396057128906,123.08042907714844,1.0,92.27123260498047,130.1897430419922,1.0,103.70233154296875,134.33798217773438,1.0,116.99125671386719,136.42481994628906,1.0,136.80377197265625,136.18821716308594,1.0,158.1095733642578,126.9840087890625,0.9999995231628418,165.46888732910156,102.15362548828125,0.9999988079071045
3,72.59970092773438,50.047977447509766,1.0,63.61912536621094,67.24633026123047,1.0,80.06315612792969,67.50434875488281,1.0,70.64360809326172,69.82588958740234,1.0,71.37256622314453,80.25634002685547,1.0,72.29352569580078,93.25431060791016,1.0,76.14835357666016,104.73892974853516,1.0,83.1075439453125,113.7684555053711,1.0,93.02564239501953,125.08328247070312,1.0,108.59906768798828,137.92132568359375,1.0,128.6729278564453,148.2637481689453,1.0,154.999755859375,144.420166015625,1.0
4,60.02410888671875,68.56896209716797,1.0,62.1124267578125,87.80477905273438,1.0,76.33226013183594,79.87244415283203,1.0,71.18675994873047,86.12062072753906,1.0,75.17382049560547,94.10257720947266,1.0,78.34890747070312,102.26390075683594,1.0,82.58349609375,109.96263885498047,1.0,87.23029327392578,117.7192153930664,1.0,95.7066879272461,125.70033264160156,1.0,107.21102905273438,141.40036010742188,1.0,122.546630859375,156.13389587402344,1.0,145.0232696533203,162.56639099121094,1.0
5,63.94789123535156,72.5263671875,1.0,63.732669830322266,91.25985717773438,1.0,78.11952209472656,83.06424713134766,1.0,72.03523254394531,90.10946655273438,1.0,75.0211410522461,98.17691040039062,1.0,78.68159484863281,106.22338104248047,1.0,82.39046478271484,114.24000549316406,1.0,86.49938201904297,122.15559387207031,1.0,93.53775787353516,129.98715209960938,1.0,106.47561645507812,145.0655517578125,1.0,119.95932006835938,160.74911499023438,1.0,141.44833374023438,170.3233642578125,1.0
6,105.93708038330078,89.14154052734375,1.0,88.89813995361328,95.24966430664062,1.0,102.12203216552734,104.92407989501953,1.0,93.07887268066406,104.83550262451172,1.0,88.26150512695312,110.58447265625,1.0,83.77684020996094,116.21757507324219,1.0,82.13446044921875,124.11727142333984,1.0,80.96984100341797,131.3079833984375,1.0,81.95377349853516,139.0495147705078,1.0,83.53428649902344,155.18731689453125,1.0,87.33062744140625,173.1039276123047,1.0,101.6081771850586,185.15902709960938,1.0
7,130.68975830078125,120.97990417480469,1.0,116.77827453613281,111.29602813720703,1.0,115.76994323730469,126.8350601196289,1.0,112.19499969482422,119.02845764160156,1.0,104.72698974609375,117.99446105957031,1.0,96.90615844726562,118.26069641113281,1.0,87.81282806396484,119.76624298095703,1.0,82.94890594482422,123.10662841796875,1.0,74.18325805664062,129.93138122558594,1.0,63.96424865722656,142.340087890625,1.0,56.71968460083008,157.28286743164062,1.0,61.67533874511719,172.9463653564453,1.0
